mondoo_action,action
mondoo.captain.Captain.CreateOrganization,created
mondoo.captain.Captain.DeleteOrganization,deleted
mondoo.captain.Captain.UpdateOrganization,updated
mondoo.captain.Captain.SetOrganizationMembership,updated
mondoo.captain.Captain.RemoveOrganizationMembership,deleted
mondoo.captain.Captain.CreateSpace,created
mondoo.captain.Captain.DeleteSpace,deleted
mondoo.captain.Captain.UpdateSpace,updated
mondoo.captain.Captain.SetSpaceMembership,updated
mondoo.captain.Captain.RemoveSpaceMembership,deleted
mondoo.captain.Captain.InviteUser,created
mondoo.captain.Captain.RemoveUser,deleted
mondoo.captain.Captain.UpdateUser,updated
mondoo.captain.Captain.Login,read
mondoo.captain.Captain.Logout,read
mondoo.captain.Captain.CreateAPIToken,created
mondoo.captain.Captain.DeleteAPIToken,deleted
mondoo.captain.Captain.CreateIntegration,created
mondoo.captain.Captain.DeleteIntegration,deleted
mondoo.captain.Captain.UpdateIntegration,updated
mondoo.captain.Captain.TriggerAction,started
mondoo.agents.AgentManager.CreateServiceAccount,created
mondoo.agents.AgentManager.DeleteServiceAccount,deleted
mondoo.agents.AgentManager.UpdateServiceAccount,updated
mondoo.agents.AgentManager.RegisterAgent,created
mondoo.agents.AgentManager.UnregisterAgent,deleted
mondoo.policy.PolicyResolver.AssignPolicy,updated
mondoo.policy.PolicyResolver.UnassignPolicy,updated
mondoo.policy.PolicyResolver.SetProps,updated
mondoo.policy.PolicyHub.SetPolicy,updated
mondoo.policy.PolicyHub.DeletePolicy,deleted
mondoo.iam.IAM.SetRoleBinding,updated
mondoo.iam.IAM.RemoveRoleBinding,deleted
mondoo.iam.IAM.CreateCustomRole,created
mondoo.iam.IAM.DeleteCustomRole,deleted
mondoo.inventory.InventoryManager.CreateAsset,created
mondoo.inventory.InventoryManager.DeleteAsset,deleted
mondoo.inventory.InventoryManager.UpdateAsset,updated
